sample	covered_sn_ps_on_1240k	total_sn_ps_on_1240k	nr_of_input_reads	nr_of_mapped_reads	nr_of_input_reads_over_30bp	percent_endogenous_dna	nr_of_mapped_reads_over_30bp	percent_endogenous_dna_over_30bp	proportion_of_duplicate_reads	damage_5_bp1	damage_5_bp2	damage_3_bp1	damage_3_bp2	mean_read_length	median_read_length	nr_mt_dna_reads	mean_mt_coverage	mt_to_nuclear_read_ratio	nr_of_unique_mapped_reads	mean_fold_coverage	median_fold_coverage	percent_of_genome_covered_by_at_least_1_read	percent_of_genome_covered_by_at_least_2_reads	percent_of_genome_covered_by_at_least_3_reads	percent_of_genome_covered_by_at_least_4_reads	percent_of_genome_covered_by_at_least_5_reads	percent_gc_of_unique_reads	read_length_std_dev	mean_fold_coverage_on_nuclear_genome	nr_nuclear_dna_reads	nr_of_reads_total	qualimap_general_error_rate	std_err_of_x_relative_coverage	std_err_of_y_relative_coverage	relative_coverage_on_x_chromosome	relative_coverage_on_y_chromosome	nr_sn_ps_used_in_contamination_estimation	nuclear_contamination_m1_ml	nuclear_contamination_m1_ml_error	nuclear_contamination_m1_mom	nuclear_contamination_m1_mom_error	nuclear_contamination_m2_ml	nuclear_contamination_m2_ml_error	nuclear_contamination_m2_mom	nuclear_contamination_m2_mom_error	source
Indrus099_ss	172257	1233013	28102298	14749232	11348586	52.484078	11348586	40.383125	0.887608	0.13963499394646	0.00900331701153056	0.0122311261071278	0.0114349775784753	N/A	N/A	26017	110.52085219385602	5608.68	1275488	0.264	0	21.538377940865185	4.016016051736681	0.6965863295845218	0.1170303962731942	0.02051884286702573	44.39317755059462	N/A	0.0197053110735067	1249471	1275488	53.73	0.00823822965030511	0.00111702926537036	0.8772939478657733	0.01099974483726032	634	0.225383	2.653601e-14	0.224826	0.01865071	0.226066	4.958045e-14	0.22155	0.02941491	1240k
Indrus101_ss	613948	1233013	19104944	12763455	10791784	66.807079	10791784	56.486865	0.651541	0.0868239528141558	0.00664655942806077	0.0197058680774644	0.0224622030237581	N/A	N/A	13658	50.345886897217696	647.36	3760496	1.5991	1	65.198907067484285	40.5887853574942	24.078902655527557	13.788337998058417	7.656204760209341	43.310184443885305	N/A	0.07777133297427685	3746838	3760496	45.879999999999995	0.00346366574140436	4.0370036107523e-4	0.9351899872976792	0.00868552530321911	8221	0.286501	5.032875e-13	0.272271	0.005131168	0.266813	1.806802e-12	0.267766	0.009007867	1240k
Indrus102_ss	122811	1233013	20913143	11175206	6491144	53.436282	6491144	31.038587	0.887198	0.125418203654457	0.00747156522152953	0.0121430409055827	0.0126286248830683	N/A	N/A	7996	29.81362785925523	2519.27	732211	0.1818	0	15.6457393393257	2.184080784225308	0.2931842567758815	0.04087548144261253	0.00640706951183807	44.89618999052962	N/A	0.01183425287628194	724215	732211	52.94	0.01003336526684484	0.00109227986584815	0.8955477037973587	0.00724461990613794	367	0.228425	1.752285e-14	0.228056	0.02510497	0.227673	4.778959e-15	0.224356	0.0385257	1240k
Indrus108_ss	535372	1233013	19414141	13795661	11288645	71.059858	11288645	58.146508	0.717202	0.0821459801450543	0.00515521685531772	0.018011811023622	0.0206506916033509	N/A	N/A	12755	46.870722433460074	730.56	3192410	1.3108	1	59.946083293525696	34.04465321939023	18.342791195226653	9.515147042245296	4.78486439315725	43.47588639772117	N/A	0.06415748744060275	3179655	3192410	46.21	0.00379922228341461	5.5808298055783e-4	0.9246859941572	0.01363332866782872	6764	0.281326	2.6158e-12	0.269	0.00571502	0.279015	3.670337e-12	0.277442	0.01009644	1240k
Indrus113_ss	265434	1233013	24251570	16466800	11612492	67.899934	11612492	47.883465	0.846179	0.165484962231799	0.00941982444872618	0.0104595074892105	0.0120232770643967	N/A	N/A	23742	99.82461222765404	3553.29	1786243	0.4404	0	31.93323995772956	8.987172073611552	2.3406890276096033	0.5876661478832745	0.143956308652058	44.07602665426934	N/A	0.02809361246817505	1762501	1786243	53.620000000000005	0.00642597739175217	4.6046844794883e-4	0.8910781996385327	0.00312291051190923	1524	0.261894	2.014713e-13	0.264144	0.01274324	0.253858	3.682808e-14	0.256986	0.02054209	1240k
Indrko001_ss	846256	1233013	26399300	16367397	15280639	61.99936	15280639	57.882743	0.457356	0.21400269434979	0.0138136810697315	0.00860312429250623	0.00806849991766837	N/A	N/A	1015	3.400627678194218	29.7	8291941	3.035	2	81.91292387022683	62.42107747444674	45.92709079304111	33.18951219492414	23.761874367910153	39.089815608794325	N/A	0.11448123484423242	8290926	8291941	48.46	0.00201213897799952	0.00261140501474074	0.6046999781765166	0.6740556210346696	8281	0.013902	1.404868e-13	0.014103	0.001593191	0.015398	3.046511e-13	0.01571	0.002959453	Twist
Indrko002_ss	1022680	1233013	18519996	16704158	16108132	90.195257	16108132	86.976973	0.23632	0.213360270543283	0.0172036823935558	0.00516426766289419	0.00489072964399013	N/A	N/A	694	2.6007604562737643	13.03	12301454	5.1334	4	91.77429597254854	80.49298750297037	68.10868985160741	56.15196271247749	45.50990135546016	41.62075068567879	N/A	0.19953646435424569	12300760	12301454	49.34	0.00144353344930373	0.00218628962862426	0.5289179237341798	0.7976146299877205	12222	0.01581	2.600419e-13	0.016148	0.001263122	0.014734	3.545851e-13	0.016987	0.002468972	Twist
Indrko003_ss	939881	1233013	19509185	15493558	14468600	79.416736	14468600	74.163016	0.312555	0.205324548125723	0.0149952142933106	0.00723411702934485	0.00453236191121654	N/A	N/A	432	1.4680427304001449	9.65	9946363	3.8434	3	87.30135043182837	71.459506104153	56.119278547752536	42.99833010681964	32.464945625066406	41.92027613378734	N/A	0.15208589550528	9945931	9946363	46.239999999999995	0.001659330269149	0.00241239571380752	0.5245063858721559	0.730061974965068	9438	0.01295	1.415554e-13	0.011724	0.001313784	0.012557	6.942957e-14	0.012864	0.002522972	Twist
Indrko004_ss	858256	1233013	21043344	17166712	15288874	81.577871	15288874	72.654203999999993	0.423258	0.210144927536232	0.0129121868408869	0.00590030518819939	0.0060808242895148	N/A	N/A	593	1.9690385659967409	16.41	8817737	2.9396	2	82.53546394076947	62.76827576027179	45.55572406779166	32.1758164755765	22.39287014816551	41.36311616516741	N/A	0.12001479109893898	8817144	8817737	48.54	0.00190421841239391	0.00260032186941106	0.5279692270918734	0.6498901366540044	7099	0.015242	1.410346e-13	0.015656	0.001819512	0.011499	6.547511e-14	0.012528	0.003066548	Twist
Indrus001_ss	1031921	1233013	27104304	25189229	24830581	92.934425	24830581	91.611211	0.571259	0.115994506180547	0.00865976984772754	0.0183143507972665	0.0243799915931063	N/A	N/A	2570	9.691170257710182	49.03	10645882	4.955	4	92.09464944814044	83.29871623413541	72.4229995953003	60.84550608955461	49.54935592730977	39.5927696947456	N/A	0.19767066710023895	10643312	10645882	48.08	0.00218715120230176	2.3342083109231e-4	1.1361420294361877	0.00892092163805295	19139	0.349236	3.263754e-12	0.331427	0.0033487120000000002	0.326314	1.377688e-11	0.327718	0.00645543	Twist
Indrus003_ss	953038	1233013	22503037	19657787	19517352	87.356151	19517352	86.73208	0.613165	0.0985302939412118	0.00677530518077215	0.0200051692943913	0.0205196999055994	N/A	N/A	1676	6.7979359043997825	45.49	7549995	3.5382	3	88.44278203068419	74.79969797560933	59.52321670574438	44.876088086662506	32.112719006206746	39.61238687866307	N/A	0.14942194070157522	7548319	7549995	48.2	0.00258824953076205	3.4354911482024e-4	1.136633710372466	0.01380352509151812	17339	0.322303	5.635522e-12	0.304352	0.003443712	0.303182	3.201502e-12	0.305376	0.006525863	Twist
Indrus007_ss	921759	1233013	18968059	17553106	17168521	92.540338	17168521	90.512798	0.531551	0.144660525417946	0.0107429091115785	0.0109065000548065	0.0106183326748321	N/A	N/A	2755	10.721829923350835	86.62	8042575	3.4767	3	86.8878105908048	71.52698308939159	55.49479202571263	41.26874574720623	29.71761043881938	40.10603038278618	N/A	0.12377806064792644	8039820	8042575	49.19	0.00260002148695747	2.8245122578598e-4	1.1253534909133591	0.00915127695369732	15510	0.334286	4.134027e-12	0.315551	0.003755321	0.309772	1.054937e-11	0.311661	0.007058755	Twist
Indrus010_ss	958953	1233013	22043453	20719660	20567085	93.994621	20567085	93.302465	0.643068	0.143573727049025	0.00832383124287343	0.0183939457641371	0.0169399980359423	N/A	N/A	1453	5.89401895105317	43.36	7341045	3.3686	3	89.34236703100454	75.55605658658911	59.16871922680458	42.89062645730418	28.966280160874216	39.96873123322482	N/A	0.13594039541300057	7339592	7341045	50.080000000000005	0.00262327614164393	2.8069458729791e-4	1.1136197469435425	0.008781551418587	17057	0.289493	1.01568e-11	0.2743	0.00346333	0.284441	5.567754e-12	0.284028	0.006509521	Twist
Indrus014_ss	875717	1233013	10881608	10575139	10370639	97.183606	10370639	95.304288	0.390382	0.18042957384905	0.0127720504009164	0.012022455164191	0.0136796949475691	N/A	N/A	1444	5.4611020580602325	53.36	6322128	2.9179	2	83.93261060507878	65.60725637118182	47.95075153303331	33.392105354931374	22.409009475163685	40.78854590539165	N/A	0.10234258584093796	6320684	6322128	50.5	0.00274636998442955	4.015527120066e-4	1.0586198333442578	0.01554863790292096	13762	0.327946	6.902574e-13	0.310882	0.003952315	0.308234	8.257042e-12	0.308283	0.007427665	Twist
Indrus023_ss	1043234	1233013	24778600	23386703	23219900	94.382665	23219900	93.709491	0.580951	0.159145565143585	0.00875132150828145	0.0147323032698527	0.0166534888317849	N/A	N/A	1878	7.599975858530993	41.51	9730275	4.7395	4	93.32213042360462	83.22321013647058	71.11474088269954	58.630200979227304	46.85635917869479	39.5840516868075	N/A	0.18307988532888703	9728397	9730275	50.470000000000006	0.00158060893865787	0.00190934801761051	0.5849293224475491	0.5661017599039838	13786	0.011075	2.1182e-14	0.012277	0.001078446	0.010075	1.346279e-13	0.011126	0.00188905	Twist
Indrus026_ss	1066212	1233013	20906442	19985089	19664119	95.592971	19664119	94.057702	0.390462	0.198745131977499	0.0127212389380531	0.0126212631162146	0.0113662831322495	N/A	N/A	704	2.5465025046774095	12.9	11986021	5.7309	5	94.0573213745516	85.21175364736625	74.55971672642544	63.540530391812574	53.152805363771506	40.203121235000225	N/A	0.1974436690676412	11985317	11986021	50.23	0.00144183795650222	0.00192586497505634	0.5848998280029204	0.6897185378376866	14306	0.01293	3.404731e-13	0.014019	0.001080551	0.014285	3.276094e-13	0.014716	0.002098226	Twist
Indrus031_ss	1052545	1233013	23812818	22346498	21923874	93.842308	21923874	92.067533	0.416086	0.121841034128014	0.00817363450599216	0.017149268084197	0.0153053090290695	N/A	N/A	3320	12.71211298207496	57.58	12801653	5.8001	5	93.3533547497066	83.95677904450318	73.29314451672448	62.62156197866527	52.67405939758948	39.44742844585225	N/A	0.2207567484711623	12798333	12801653	48.24	0.00145547876771359	0.00192058772138874	0.6022885322415681	0.6935918840191752	14529	0.00721	2.482943e-13	0.007497	8.11117e-4	0.007895	8.677233e-14	0.008833	0.001713024	Twist
Indrus036_ss	255917	1233013	8685559	5060868	4387788	58.267614	4387788	50.518199	0.556473	0.108323648459103	0.00867640548915449	0.0106065451444409	0.00695702288819364	N/A	N/A	449	1.4839157462731607	56.43	1946101	0.4143	0	30.786374515110545	7.875829370817664	1.9618609049539624	0.5106191094497787	0.14906574383238458	40.39041345026875	N/A	0.02629771806045678	1945652	1946101	51.06	0.00727353435267735	8.4751542085544e-4	1.0517268344302813	0.00980933435302408	1261	0.248022	4.3349910000000003e-14	0.247447	0.01367422	0.28687	1.379315e-13	0.285087	0.02372189	Twist
Indrus039_ss	601796	1233013	12310788	8591286	8238038	69.786646	8238038	66.917227	0.62135	0.141164110107165	0.010119451254499	0.0127998436660316	0.0129517931453687	N/A	N/A	3738	14.440762870420665	283.24	3119329	1.2293	1	65.8237991002528	33.989584862446705	14.74737087119114	5.605050392818243	1.90565711797037	41.15943563898425	N/A	0.05098468065276376	3115591	3119329	50.14999999999999	0.00293289940146272	0.0035130604897748	0.52556211693231	0.4997911864142968	2521	0.011707	2.063854e-14	0.010569	0.002871048	0.008029	1.619733e-14	0.008447	0.004171222	Twist
